InvoiceID,Date,CustomerID,Gender,AgeGroup,Region,ProductCategory,ProductName,Quantity,UnitPrice,TotalSale,Discount,Profit,PaymentMethod
INV000016,2023-01-01,CUST9006,Female,26-35,Cape Town,Main Course,Beef Burger,4,83.48,333.92,9.89,83.34,Cash
INV000017,2023-01-01,CUST6258,Male,26-35,Durban,Starters,Garlic Bread,1,197.62,197.62,3.93,39.85,Card
INV000018,2023-01-01,CUST6892,Female,46-60,Johannesburg,Main Course,Fish & Chips,3,182.58,547.74,39.93,236.28,Cash
INV000019,2023-01-01,CUST4104,Male,60+,Pretoria,Drinks,Coke,2,102.45,204.9,2.37,94.03,Card
INV000020,2023-01-01,CUST3731,Male,46-60,Johannesburg,Drinks,Coke,4,105.29,421.16,28.17,168.37,EFT
INV000021,2023-01-01,CUST9110,Male,60+,Pretoria,Desserts,Chocolate Cake,4,83.19,332.76,18.68,104.78,Card
INV000022,2023-01-01,CUST7938,Male,18-25,Pretoria,Starters,Soup of the Day,2,215.25,430.5,31.07,116.58,EFT
INV000023,2023-01-01,CUST8858,Male,18-25,Durban,Desserts,Ice Cream,1,183.45,183.45,2.03,60.87,Cash
INV000024,2023-01-01,CUST7019,Male,60+,Johannesburg,Drinks,Coffee,3,226.03,678.09,32.23,250.2,Card
INV000025,2023-01-01,CUST5636,Male,36-45,Port Elizabeth,Drinks,Beer,2,52.05,104.1,6.29,37.68,Cash
INV000026,2023-01-01,CUST6915,Male,18-25,Port Elizabeth,Desserts,Pudding,4,236.86,947.44,56.74,386.97,EFT
INV000027,2023-01-01,CUST4627,Female,46-60,Port Elizabeth,Starters,Garlic Bread,2,163.6,327.2,9.67,75.8,Card
INV000028,2023-01-01,CUST6592,Male,60+,Port Elizabeth,Starters,Salad,4,225.29,901.16,48.6,398.52,Cash
INV000029,2023-01-01,CUST7776,Female,46-60,Durban,Main Course,Grilled Chicken,3,228.57,685.71,18.66,270.38,Card
INV000030,2023-01-01,CUST6530,Male,46-60,Port Elizabeth,Desserts,Chocolate Cake,4,101.09,404.36,12.32,100.85,EFT
INV000031,2023-01-01,CUST1663,Male,60+,Durban,Desserts,Chocolate Cake,1,131.51,131.51,9.11,36.93,Card
INV000032,2023-01-01,CUST4763,Female,18-25,Durban,Desserts,Chocolate Cake,3,58.71,176.13,3.85,64.72,Cash
INV000033,2023-01-01,CUST8554,Male,46-60,Cape Town,Drinks,Coke,1,34.93,34.93,0.89,9.57,EFT
INV000034,2023-01-01,CUST5737,Female,60+,Pretoria,Desserts,Ice Cream,1,54.06,54.06,5.39,15.14,Cash
INV000035,2023-01-01,CUST6249,Male,46-60,Johannesburg,Starters,Salad,4,31.84,127.36,3.55,60.18,EFT
INV000036,2023-01-01,CUST5931,Female,36-45,Cape Town,Main Course,Beef Burger,1,132.57,132.57,13.07,36.14,Card
INV000037,2023-01-01,CUST3327,Female,60+,Durban,Drinks,Coke,3,195.17,585.51,13.91,245.02,Cash
INV000038,2023-01-01,CUST7287,Female,60+,Pretoria,Starters,Chicken Wings,1,165.43,165.43,10.48,59.68,Cash
INV000039,2023-01-01,CUST1659,Female,46-60,Johannesburg,Drinks,Coffee,1,54.67,54.67,2.78,22.35,Card
INV000040,2023-01-01,CUST9338,Female,60+,Port Elizabeth,Desserts,Pudding,4,175.84,703.36,1.17,248.73,Card
INV000041,2023-01-01,CUST6759,Male,18-25,Johannesburg,Desserts,Ice Cream,4,168.39,673.56,11.74,274.33,Cash
INV000042,2023-01-01,CUST7616,Female,18-25,Cape Town,Starters,Soup of the Day,3,235.45,706.35,9.71,213.54,Card
INV000043,2023-01-01,CUST7287,Male,26-35,Port Elizabeth,Desserts,Pudding,2,232.68,465.36,40.83,129.08,Card
INV000044,2023-01-01,CUST6423,Female,26-35,Pretoria,Main Course,Beef Burger,2,245.9,491.8,25.41,136.84,Card
INV000045,2023-01-01,CUST8400,Female,18-25,Johannesburg,Desserts,Chocolate Cake,2,226.36,452.72,40.76,176.53,Card
INV000046,2023-01-01,CUST7197,Female,60+,Cape Town,Desserts,Ice Cream,3,181.08,543.24,45.99,248.2,EFT
INV000047,2023-01-01,CUST6539,Male,18-25,Durban,Starters,Garlic Bread,4,224.19,896.76,76.31,431.06,Card
INV000048,2023-01-01,CUST6592,Male,18-25,Port Elizabeth,Drinks,Wine,2,173.87,347.74,20.19,108.39,Card
INV000049,2023-01-01,CUST3869,Male,46-60,Port Elizabeth,Starters,Garlic Bread,3,243.94,731.82,20.78,213.41,EFT
INV000050,2023-01-01,CUST7944,Male,18-25,Cape Town,Starters,Garlic Bread,3,169.95,509.85,11.43,210.9,Card
INV000051,2023-01-01,CUST2218,Male,60+,Pretoria,Desserts,Cheesecake,2,94.84,189.68,14.16,74.9,Cash
INV000052,2023-01-01,CUST4446,Male,18-25,Johannesburg,Main Course,Grilled Chicken,1,90.85,90.85,4.93,32.04,Card
INV000053,2023-01-01,CUST6895,Male,46-60,Port Elizabeth,Starters,Garlic Bread,2,76.12,152.24,14.81,48.4,Card
INV000054,2023-01-01,CUST8022,Female,60+,Durban,Starters,Chicken Wings,3,119.91,359.73,12.59,141.56,Cash
INV000055,2023-01-01,CUST8683,Female,60+,Pretoria,Starters,Soup of the Day,4,218.76,875.04,20.14,306.05,Cash
INV000056,2023-01-01,CUST3205,Male,18-25,Cape Town,Desserts,Cheesecake,3,196.77,590.31,2.57,294.19,EFT
INV000057,2023-01-01,CUST2060,Male,60+,Johannesburg,Desserts,Cheesecake,1,84.3,84.3,7.45,35.77,Cash
INV000058,2023-01-01,CUST1699,Male,36-45,Johannesburg,Drinks,Coffee,4,96.07,384.28,21.24,142.83,EFT
INV000059,2023-01-02,CUST4327,Male,46-60,Cape Town,Drinks,Tea,4,87.72,350.88,13.51,159.77,EFT
INV000060,2023-01-02,CUST1569,Female,18-25,Pretoria,Main Course,Steak,3,58.98,176.94,9.85,85.08,Cash
INV000061,2023-01-02,CUST2686,Female,36-45,Durban,Drinks,Coffee,3,151.11,453.33,4.41,174.31,Card
INV000062,2023-01-02,CUST9096,Female,36-45,Port Elizabeth,Starters,Chicken Wings,2,78.46,156.92,4.63,46.57,Cash
INV000063,2023-01-02,CUST3806,Female,36-45,Port Elizabeth,Main Course,Beef Burger,1,181.57,181.57,6.53,52.31,EFT
INV000064,2023-01-02,CUST6625,Male,60+,Cape Town,Drinks,Coffee,2,206.33,412.66,35.78,195.59,Card
INV000065,2023-01-02,CUST7655,Male,36-45,Port Elizabeth,Desserts,Cheesecake,3,135.35,406.05,32.41,160.39,Card
INV000066,2023-01-02,CUST6919,Male,36-45,Cape Town,Drinks,Coffee,2,203.03,406.06,36.14,122.39,Cash
INV000067,2023-01-02,CUST2148,Male,60+,Durban,Drinks,Beer,3,174.57,523.71,17.19,129.1,Cash
INV000068,2023-01-02,CUST4854,Male,46-60,Pretoria,Starters,Garlic Bread,2,155.89,311.78,0.95,65.85,Cash
INV000069,2023-01-02,CUST6691,Female,36-45,Durban,Main Course,Pasta Alfredo,2,143.53,287.06,9.38,128.71,Card
INV000070,2023-01-02,CUST8027,Female,36-45,Johannesburg,Starters,Garlic Bread,4,242.01,968.04,44.27,438.14,Card
INV000071,2023-01-02,CUST5465,Female,26-35,Pretoria,Main Course,Steak,2,144.35,288.7,18.4,120.63,Cash
INV000072,2023-01-02,CUST6177,Female,46-60,Cape Town,Main Course,Beef Burger,4,184.36,737.44,3.03,235.72,EFT
INV000073,2023-01-02,CUST2150,Female,46-60,Durban,Main Course,Fish & Chips,3,77.7,233.1,4.3,52.28,Cash
INV000074,2023-01-02,CUST8805,Female,26-35,Durban,Drinks,Tea,1,178.35,178.35,1.04,84.64,Card
INV000075,2023-01-02,CUST4343,Female,26-35,Johannesburg,Drinks,Coffee,2,184.36,368.72,24.34,104.71,EFT
INV000076,2023-01-02,CUST9130,Female,26-35,Durban,Desserts,Pudding,1,189.72,189.72,10.52,72.76,Card
INV000077,2023-01-02,CUST6188,Female,26-35,Pretoria,Starters,Chicken Wings,4,150.19,600.76,9.53,141.81,EFT
INV000078,2023-01-02,CUST7617,Female,26-35,Durban,Drinks,Coke,3,29.37,88.11,7.54,36.22,Cash
INV000079,2023-01-02,CUST5452,Female,18-25,Cape Town,Drinks,Coffee,4,205.59,822.36,28.48,279.11,Cash
INV000080,2023-01-02,CUST8390,Male,46-60,Cape Town,Starters,Chicken Wings,3,31.05,93.15,8.84,43.41,Cash
INV000081,2023-01-02,CUST5611,Female,46-60,Durban,Desserts,Ice Cream,2,163.95,327.9,16.5,149.83,Cash
INV000082,2023-01-02,CUST7303,Female,26-35,Cape Town,Desserts,Chocolate Cake,4,36.23,144.92,9.31,30.14,Cash
INV000083,2023-01-02,CUST5000,Female,18-25,Durban,Main Course,Steak,3,204.22,612.66,41.49,227.92,Card
INV000084,2023-01-02,CUST6536,Female,36-45,Johannesburg,Starters,Soup of the Day,1,145.49,145.49,13.7,45.95,EFT
INV000085,2023-01-02,CUST6726,Male,18-25,Pretoria,Drinks,Coffee,4,228.23,912.92,17.87,201.58,Cash
INV000086,2023-01-02,CUST9967,Female,46-60,Pretoria,Drinks,Coffee,2,24.19,48.38,0.46,19.59,Card
INV000087,2023-01-02,CUST9808,Female,36-45,Johannesburg,Main Course,Fish & Chips,1,214.32,214.32,0.5,95.23,EFT
INV000088,2023-01-02,CUST1412,Male,36-45,Cape Town,Desserts,Chocolate Cake,3,47.18,141.54,9.86,55.01,Card
INV000089,2023-01-02,CUST6988,Female,36-45,Johannesburg,Desserts,Ice Cream,4,189.07,756.28,60.77,215.25,Cash
INV000090,2023-01-02,CUST2571,Female,26-35,Cape Town,Main Course,Grilled Chicken,1,150.76,150.76,8.68,63.24,Cash
INV000091,2023-01-02,CUST4440,Female,18-25,Durban,Starters,Salad,2,77.5,155.0,9.0,71.32,EFT
INV000092,2023-01-02,CUST9787,Female,26-35,Johannesburg,Drinks,Beer,3,192.7,578.1,43.62,133.5,EFT
INV000093,2023-01-02,CUST1395,Female,46-60,Durban,Starters,Salad,4,109.61,438.44,13.05,100.84,EFT
INV000094,2023-01-02,CUST1717,Male,26-35,Port Elizabeth,Desserts,Cheesecake,1,228.24,228.24,2.08,67.51,Card
INV000095,2023-01-02,CUST5980,Female,26-35,Johannesburg,Desserts,Ice Cream,3,238.64,715.92,41.05,278.89,EFT
INV000096,2023-01-02,CUST8651,Female,36-45,Durban,Main Course,Pasta Alfredo,1,87.44,87.44,2.87,35.13,Card
INV000097,2023-01-02,CUST6161,Female,46-60,Johannesburg,Drinks,Coffee,1,202.06,202.06,15.96,45.94,Card
INV000098,2023-01-02,CUST6334,Male,26-35,Durban,Drinks,Beer,2,33.24,66.48,3.65,22.1,Card
INV000099,2023-01-02,CUST8241,Female,18-25,Johannesburg,Starters,Garlic Bread,1,100.71,100.71,1.18,24.46,Card
INV000100,2023-01-02,CUST2191,Male,46-60,Johannesburg,Main Course,Steak,2,162.19,324.38,3.28,73.06,Cash
INV000101,2023-01-02,CUST7172,Male,18-25,Cape Town,Main Course,Fish & Chips,2,111.23,222.46,19.84,54.28,EFT
INV000102,2023-01-02,CUST2365,Male,46-60,Cape Town,Main Course,Steak,1,73.64,73.64,4.28,33.8,Card
INV000103,2023-01-02,CUST4141,Male,26-35,Port Elizabeth,Main Course,Steak,4,74.44,297.76,27.03,112.42,Cash
INV000104,2023-01-02,CUST5186,Female,60+,Cape Town,Desserts,Ice Cream,4,39.21,156.84,12.19,57.64,Cash
INV000105,2023-01-02,CUST5748,Male,60+,Johannesburg,Starters,Garlic Bread,2,228.46,456.92,5.08,158.91,Cash
INV000106,2023-01-02,CUST4072,Female,18-25,Durban,Main Course,Pasta Alfredo,2,127.79,255.58,1.44,60.23,EFT
INV000107,2023-01-02,CUST8576,Female,60+,Pretoria,Starters,Salad,3,154.17,462.51,44.5,144.52,EFT
INV000108,2023-01-02,CUST7316,Female,18-25,Pretoria,Desserts,Chocolate Cake,4,141.53,566.12,24.7,249.45,Card
INV000109,2023-01-02,CUST6348,Female,60+,Port Elizabeth,Drinks,Wine,1,94.22,94.22,0.41,44.98,EFT
INV000110,2023-01-02,CUST2256,Male,26-35,Port Elizabeth,Desserts,Cheesecake,4,147.39,589.56,57.15,210.43,Card
INV000111,2023-01-03,CUST4330,Male,18-25,Pretoria,Starters,Chicken Wings,2,87.73,175.46,17.47,71.78,Card
INV000112,2023-01-03,CUST6063,Male,36-45,Johannesburg,Drinks,Wine,4,189.53,758.12,69.39,369.67,Card
INV000113,2023-01-03,CUST7819,Female,60+,Johannesburg,Desserts,Chocolate Cake,2,124.8,249.6,15.48,70.69,EFT
INV000114,2023-01-03,CUST5964,Female,60+,Johannesburg,Desserts,Chocolate Cake,2,109.3,218.6,5.01,61.16,Card
INV000115,2023-01-03,CUST6320,Male,18-25,Port Elizabeth,Main Course,Beef Burger,1,79.79,79.79,3.62,16.73,EFT
INV000116,2023-01-03,CUST2581,Male,26-35,Durban,Desserts,Pudding,1,114.58,114.58,6.91,32.23,EFT
INV000117,2023-01-03,CUST2838,Male,18-25,Johannesburg,Desserts,Ice Cream,3,209.18,627.54,59.6,262.13,Cash
INV000118,2023-01-03,CUST6124,Female,26-35,Pretoria,Main Course,Beef Burger,1,116.2,116.2,10.84,53.43,EFT
INV000119,2023-01-03,CUST8449,Female,60+,Durban,Desserts,Cheesecake,3,114.59,343.77,26.73,118.3,EFT
INV000120,2023-01-03,CUST5000,Female,36-45,Johannesburg,Desserts,Chocolate Cake,3,110.39,331.17,27.46,122.77,EFT
INV000121,2023-01-03,CUST3000,Female,26-35,Port Elizabeth,Starters,Garlic Bread,2,28.47,56.94,0.76,11.62,Cash
INV000122,2023-01-03,CUST8140,Male,18-25,Port Elizabeth,Drinks,Tea,1,249.94,249.94,24.91,91.64,Cash
INV000123,2023-01-03,CUST8245,Female,26-35,Durban,Starters,Chicken Wings,1,237.3,237.3,20.16,65.07,EFT
INV000124,2023-01-03,CUST6565,Male,36-45,Port Elizabeth,Drinks,Coke,1,49.71,49.71,4.74,18.98,Card
INV000125,2023-01-03,CUST8239,Female,18-25,Johannesburg,Desserts,Ice Cream,1,174.49,174.49,10.79,53.65,Card
INV000126,2023-01-03,CUST5363,Male,60+,Pretoria,Main Course,Steak,3,174.46,523.38,27.23,225.94,EFT
INV000127,2023-01-03,CUST7544,Female,60+,Port Elizabeth,Starters,Chicken Wings,1,146.94,146.94,8.24,68.03,Cash
INV000128,2023-01-03,CUST5673,Male,18-25,Port Elizabeth,Drinks,Coffee,4,130.41,521.64,21.94,227.12,EFT
INV000129,2023-01-03,CUST7949,Male,18-25,Johannesburg,Desserts,Pudding,3,68.98,206.94,2.82,42.29,Cash
INV000130,2023-01-03,CUST2331,Female,60+,Cape Town,Starters,Salad,2,155.68,311.36,12.21,103.14,EFT
INV000131,2023-01-03,CUST5854,Male,36-45,Cape Town,Desserts,Chocolate Cake,1,138.22,138.22,10.83,44.09,EFT
INV000132,2023-01-03,CUST7327,Male,26-35,Johannesburg,Starters,Chicken Wings,2,218.34,436.68,41.46,106.6,EFT
INV000133,2023-01-03,CUST8941,Female,36-45,Johannesburg,Main Course,Pasta Alfredo,1,133.19,133.19,3.44,44.98,EFT
INV000134,2023-01-03,CUST2906,Male,46-60,Pretoria,Main Course,Fish & Chips,1,99.91,99.91,2.09,37.36,Cash
INV000135,2023-01-03,CUST7031,Female,46-60,Durban,Main Course,Steak,3,49.64,148.92,1.91,36.57,Cash
INV000136,2023-01-03,CUST2887,Male,26-35,Durban,Desserts,Pudding,4,61.42,245.68,17.11,79.48,EFT
INV000137,2023-01-03,CUST8570,Female,46-60,Pretoria,Drinks,Coke,3,138.5,415.5,40.43,158.13,Card
INV000138,2023-01-03,CUST7981,Male,36-45,Johannesburg,Desserts,Cheesecake,1,58.86,58.86,1.64,14.9,EFT
INV000139,2023-01-03,CUST8240,Female,18-25,Durban,Desserts,Ice Cream,1,142.92,142.92,5.09,66.92,Card
INV000140,2023-01-03,CUST7493,Female,18-25,Cape Town,Main Course,Fish & Chips,2,203.86,407.72,25.6,91.54,Card
INV000141,2023-01-03,CUST2276,Male,26-35,Cape Town,Starters,Salad,3,231.8,695.4,4.25,196.84,Card
INV000142,2023-01-03,CUST9150,Female,26-35,Durban,Desserts,Chocolate Cake,4,68.15,272.6,10.1,94.14,EFT
INV000143,2023-01-03,CUST6126,Female,60+,Pretoria,Desserts,Chocolate Cake,2,126.38,252.76,18.89,53.33,Card
INV000144,2023-01-03,CUST9172,Male,36-45,Durban,Main Course,Fish & Chips,3,225.9,677.7,34.68,243.72,EFT
INV000145,2023-01-03,CUST9152,Female,60+,Pretoria,Drinks,Coffee,2,122.9,245.8,13.09,67.04,EFT
INV000146,2023-01-03,CUST7229,Female,18-25,Port Elizabeth,Main Course,Beef Burger,3,106.78,320.34,0.64,95.02,Card
INV000147,2023-01-03,CUST7168,Female,46-60,Pretoria,Main Course,Steak,2,143.13,286.26,6.68,86.7,Card
INV000148,2023-01-03,CUST7371,Female,18-25,Port Elizabeth,Drinks,Coffee,4,101.67,406.68,26.39,139.85,EFT
INV000149,2023-01-03,CUST7891,Male,36-45,Pretoria,Starters,Garlic Bread,3,189.47,568.41,31.7,213.7,EFT
INV000150,2023-01-03,CUST2761,Male,36-45,Pretoria,Main Course,Fish & Chips,3,107.12,321.36,10.84,151.01,Cash
INV000151,2023-01-03,CUST2460,Male,36-45,Pretoria,Drinks,Tea,3,101.9,305.7,30.16,116.7,Cash
INV000152,2023-01-03,CUST7986,Female,18-25,Pretoria,Starters,Salad,2,71.83,143.66,5.25,49.76,EFT
INV000153,2023-01-03,CUST9434,Male,36-45,Cape Town,Main Course,Grilled Chicken,2,85.57,171.14,2.97,80.27,EFT
INV000154,2023-01-03,CUST8489,Female,60+,Cape Town,Main Course,Fish & Chips,3,114.39,343.17,33.71,80.17,EFT
INV000155,2023-01-03,CUST3551,Male,26-35,Durban,Desserts,Ice Cream,4,242.98,971.92,84.12,432.62,EFT
INV000156,2023-01-03,CUST7316,Female,18-25,Johannesburg,Desserts,Ice Cream,2,173.79,347.58,32.3,127.57,Cash
INV000157,2023-01-03,CUST9915,Male,60+,Port Elizabeth,Main Course,Fish & Chips,4,67.17,268.68,26.01,111.04,EFT
INV000158,2023-01-03,CUST2828,Male,60+,Johannesburg,Desserts,Cheesecake,1,189.34,189.34,10.03,78.04,EFT
INV000159,2023-01-03,CUST4744,Male,26-35,Durban,Main Course,Pasta Alfredo,2,55.5,111.0,5.34,39.94,EFT
INV000160,2023-01-03,CUST3219,Female,26-35,Johannesburg,Desserts,Cheesecake,2,97.42,194.84,2.62,42.67,Card
INV000161,2023-01-03,CUST3832,Male,46-60,Pretoria,Drinks,Tea,2,94.14,188.28,15.25,52.04,Card
INV000162,2023-01-03,CUST8984,Male,26-35,Durban,Main Course,Beef Burger,1,157.0,157.0,7.4,50.8,EFT
INV000163,2023-01-03,CUST9567,Male,60+,Cape Town,Main Course,Pasta Alfredo,1,211.04,211.04,20.37,50.08,Card
INV000164,2023-01-03,CUST6415,Female,46-60,Durban,Main Course,Fish & Chips,3,235.82,707.46,12.82,155.61,EFT
INV000165,2023-01-03,CUST7413,Female,60+,Durban,Main Course,Beef Burger,4,152.13,608.52,51.23,147.22,Card
INV000166,2023-01-03,CUST8546,Male,46-60,Johannesburg,Starters,Soup of the Day,4,57.64,230.56,3.79,102.45,Cash
INV000167,2023-01-03,CUST3136,Male,60+,Port Elizabeth,Drinks,Coke,2,140.31,280.62,10.07,129.97,Cash
INV000168,2023-01-03,CUST8804,Male,18-25,Cape Town,Starters,Salad,2,207.82,415.64,18.25,130.13,Cash
INV000169,2023-01-03,CUST3192,Male,18-25,Cape Town,Drinks,Coke,2,144.15,288.3,12.65,107.61,Card
INV000170,2023-01-03,CUST5018,Female,26-35,Pretoria,Drinks,Wine,1,110.04,110.04,5.85,24.21,EFT
INV000171,2023-01-03,CUST9135,Female,60+,Cape Town,Desserts,Chocolate Cake,3,46.89,140.67,13.22,54.62,EFT
INV000172,2023-01-03,CUST9669,Female,18-25,Port Elizabeth,Starters,Chicken Wings,2,52.03,104.06,8.26,40.17,Card
INV000173,2023-01-03,CUST1950,Female,26-35,Durban,Main Course,Fish & Chips,3,151.82,455.46,45.44,193.9,Card
INV000174,2023-01-03,CUST2865,Male,26-35,Pretoria,Starters,Soup of the Day,1,27.71,27.71,1.58,11.88,Cash
INV000175,2023-01-03,CUST7359,Female,18-25,Johannesburg,Drinks,Coffee,1,43.67,43.67,2.34,13.7,Card
INV000176,2023-01-03,CUST3371,Male,46-60,Johannesburg,Main Course,Fish & Chips,4,111.38,445.52,35.52,109.14,Card
INV000177,2023-01-03,CUST1793,Male,60+,Cape Town,Desserts,Cheesecake,4,197.53,790.12,0.96,299.88,EFT
INV000178,2023-01-03,CUST7166,Female,26-35,Durban,Starters,Garlic Bread,3,157.78,473.34,39.14,230.86,Cash
INV000179,2023-01-04,CUST1984,Male,60+,Pretoria,Drinks,Wine,2,237.88,475.76,7.3,178.82,Cash
INV000180,2023-01-04,CUST5451,Male,18-25,Durban,Drinks,Coffee,1,24.17,24.17,2.11,11.59,Card
INV000181,2023-01-04,CUST4177,Male,26-35,Port Elizabeth,Drinks,Coffee,4,180.23,720.92,66.5,297.14,EFT
INV000182,2023-01-04,CUST8196,Female,60+,Port Elizabeth,Main Course,Grilled Chicken,1,152.55,152.55,9.26,49.92,EFT
INV000183,2023-01-04,CUST6732,Male,60+,Pretoria,Desserts,Cheesecake,2,234.9,469.8,43.48,157.5,EFT
INV000184,2023-01-04,CUST4072,Female,60+,Johannesburg,Drinks,Beer,1,58.07,58.07,1.08,26.2,EFT
INV000185,2023-01-04,CUST8112,Female,36-45,Cape Town,Desserts,Pudding,3,91.63,274.89,6.25,105.11,EFT
INV000186,2023-01-04,CUST8970,Male,18-25,Port Elizabeth,Drinks,Coffee,1,97.1,97.1,7.8,19.55,Cash
INV000187,2023-01-04,CUST9070,Male,60+,Cape Town,Main Course,Grilled Chicken,3,115.34,346.02,29.88,165.01,Cash
INV000188,2023-01-04,CUST5971,Female,26-35,Cape Town,Starters,Salad,2,130.59,261.18,23.99,98.24,EFT
INV000189,2023-01-04,CUST4572,Male,36-45,Johannesburg,Desserts,Cheesecake,3,52.4,157.2,2.77,54.94,Cash
INV000190,2023-01-04,CUST3713,Female,26-35,Durban,Main Course,Fish & Chips,4,91.64,366.56,28.61,103.84,Cash
INV000191,2023-01-04,CUST4432,Female,18-25,Cape Town,Starters,Garlic Bread,4,68.92,275.68,14.2,135.82,EFT
INV000192,2023-01-04,CUST7704,Male,60+,Port Elizabeth,Desserts,Ice Cream,1,148.18,148.18,12.75,53.42,Card
INV000193,2023-01-04,CUST9058,Female,26-35,Johannesburg,Desserts,Pudding,3,156.94,470.82,3.16,200.09,Card
INV000194,2023-01-04,CUST5524,Male,26-35,Durban,Main Course,Steak,4,226.55,906.2,18.59,233.08,Card
INV000195,2023-01-04,CUST6490,Female,26-35,Cape Town,Desserts,Ice Cream,1,128.58,128.58,7.26,28.25,Card
INV000196,2023-01-04,CUST6797,Female,46-60,Port Elizabeth,Starters,Soup of the Day,3,141.36,424.08,22.67,146.02,EFT
INV000197,2023-01-04,CUST9038,Male,46-60,Port Elizabeth,Main Course,Beef Burger,3,55.71,167.13,3.04,76.64,Card
INV000198,2023-01-04,CUST4451,Female,26-35,Durban,Main Course,Steak,3,105.86,317.58,8.6,124.87,Card
INV000199,2023-01-04,CUST1832,Male,18-25,Cape Town,Starters,Salad,1,25.84,25.84,0.4,10.72,EFT
INV000200,2023-01-04,CUST9519,Male,36-45,Johannesburg,Starters,Salad,1,71.05,71.05,1.64,28.53,Cash
INV000201,2023-01-04,CUST4675,Female,26-35,Port Elizabeth,Starters,Garlic Bread,2,98.03,196.06,11.16,91.41,Card
INV000202,2023-01-04,CUST3538,Female,36-45,Durban,Drinks,Coffee,3,185.79,557.37,44.89,276.8,Cash
INV000203,2023-01-04,CUST1822,Female,18-25,Cape Town,Drinks,Coffee,4,111.35,445.4,29.76,116.47,Cash
INV000204,2023-01-04,CUST5242,Male,46-60,Cape Town,Main Course,Fish & Chips,4,39.99,159.96,10.13,67.31,Cash
INV000205,2023-01-04,CUST9705,Male,18-25,Port Elizabeth,Main Course,Beef Burger,4,61.73,246.92,14.4,80.6,Cash
INV000206,2023-01-04,CUST2409,Male,18-25,Pretoria,Drinks,Coffee,1,208.01,208.01,7.11,57.79,Cash
INV000207,2023-01-04,CUST2279,Female,36-45,Pretoria,Desserts,Ice Cream,3,155.77,467.31,12.53,180.96,EFT
INV000208,2023-01-04,CUST2387,Male,36-45,Pretoria,Starters,Soup of the Day,2,103.43,206.86,17.81,54.99,Cash
INV000209,2023-01-04,CUST5223,Female,36-45,Pretoria,Main Course,Grilled Chicken,4,46.27,185.08,10.47,91.73,Card
INV000210,2023-01-04,CUST3599,Male,18-25,Port Elizabeth,Desserts,Pudding,4,117.8,471.2,1.06,132.22,Cash
INV000211,2023-01-04,CUST3541,Male,60+,Johannesburg,Main Course,Beef Burger,2,165.7,331.4,8.55,80.13,EFT
INV000212,2023-01-04,CUST9996,Male,46-60,Johannesburg,Drinks,Tea,4,50.42,201.68,18.16,82.16,EFT
INV000213,2023-01-04,CUST9232,Female,26-35,Johannesburg,Desserts,Pudding,3,209.19,627.57,33.24,278.97,Cash
INV000214,2023-01-04,CUST2622,Female,18-25,Pretoria,Starters,Garlic Bread,2,35.45,70.9,2.87,24.76,Cash
INV000215,2023-01-04,CUST1645,Male,46-60,Cape Town,Desserts,Pudding,1,22.53,22.53,0.31,10.59,Card
INV000216,2023-01-04,CUST9646,Female,26-35,Cape Town,Desserts,Chocolate Cake,3,157.41,472.23,28.36,188.66,Cash
